layer,unit,description
conv1,0,Horizontal lines
conv1,1,Diagonal lines
conv1,2,White backgrounds
conv1,3,Nothing
conv1,4,Yellow and orange objects
conv1,5,Areas of blue
conv1,6,Purple and red objects
conv1,7,Nothing
conv1,8,White areas with text
conv1,9,The ocean
conv1,10,White outlines of objects
conv1,11,White outlines of black objects
conv1,12,Yellow and white lines
conv1,13,Red objects
conv1,14,White outlines
conv1,15,Areas of blue
conv1,16,Purple and red objects
conv1,17,White areas
conv1,18,White outlines of objects
conv1,19,The outline of an object
conv1,20,Vertical lines
conv1,21,White lines
conv1,22,Vertical lines
conv1,23,Red colored objects
conv1,24,Black and white colored objects
conv1,25,Black and white lettering
conv1,26,White lines
conv1,27,Fluorescent blue and green objects
conv1,28,Red objects
conv1,29,The area under the lines
conv1,30,Horizontal lines
conv1,31,Red colored objects
conv1,32,Blue objects
conv1,33,Green areas
conv1,34,Orange and yellow objects
conv1,35,Red
conv1,36,The color blue
conv1,37,Purple areas
conv1,38,Red
conv1,39,White lines
conv1,40,Black and white stripes
conv1,41,White dots outlining objects
conv1,42,Horizontal lines
conv1,43,Black and white stripes
conv1,44,White lines
conv1,45,The color green
conv1,46,White lines
conv1,47,Black and white stripes
conv1,48,White backgrounds
conv1,49,Stripes
conv1,50,Black and white stripes
conv1,51,Striped objects
conv1,52,Yellow objects
conv1,53,Black and white stripes
conv1,54,The color yellow
conv1,55,Black and white stripes
conv1,56,White lines
conv1,57,White lines
conv1,58,Vertical lines
conv1,59,Black and white lettering
conv1,60,Diagonal lines
conv1,61,White areas
conv1,62,The color yellow
conv1,63,Stripes
layer1,0,Horizontal lines
layer1,1,Green colored objects
layer1,2,Stripes
layer1,3,Spots of the color white
layer1,4,Red colored objects
layer1,5,The color blue
layer1,6,Purple flowers
layer1,7,White lines
layer1,8,Horizontal lines
layer1,9,Neon colors
layer1,10,Horizontal lines
layer1,11,Spots of the color white
layer1,12,Words and grids
layer1,13,Horizontal lines
layer1,14,Horizontal lines
layer1,15,Blue and red lines
layer1,16,Red colored objects
layer1,17,Yellow dots
layer1,18,Spots of the color white
layer1,19,White outlines of black objects
layer1,20,White dots
layer1,21,Horizontal lines
layer1,22,Spots of the color white
layer1,23,Red and blue objects
layer1,24,Stripes
layer1,25,Text
layer1,26,The area under lines
layer1,27,Blue areas in pictures
layer1,28,Red and yellow dots
layer1,29,Numbers and letters
layer1,30,Words and grids
layer1,31,The color red
layer1,32,The color blue
layer1,33,Green dots
layer1,34,Red objects
layer1,35,Red and orange dots
layer1,36,Red and blue objects
layer1,37,White dots
layer1,38,Spots of the color white
layer1,39,Vertical lines
layer1,40,Letters and numbers
layer1,41,Horizontal lines
layer1,42,Horizontal lines
layer1,43,White lines
layer1,44,Words and grids
layer1,45,Green dots
layer1,46,Spots of the color white
layer1,47,Stripes
layer1,48,Dots outlining a object
layer1,49,Spots of the color white
layer1,50,Horizontal lines
layer1,51,Stripes
layer1,52,Yellow and green spots
layer1,53,Stripes
layer1,54,Spots of the color white
layer1,55,Stripes
layer1,56,The area under lines
layer1,57,Vertical lines
layer1,58,Spots of the color white
layer1,59,Words and grids
layer1,60,Diagonal lines
layer1,61,White dots outlining objects
layer1,62,Green colored objects
layer1,63,Dots and numbers
layer2,0,Red dots
layer2,1,Black dots
layer2,2,Diagonal lines
layer2,3,Items that are green
layer2,4,Red and orange objects
layer2,5,Spots of the color white
layer2,6,Spots of the color white
layer2,7,Red and orange objects
layer2,8,Black and white colored objects
layer2,9,Stripes
layer2,10,Small dots and eyes
layer2,11,Round objects
layer2,12,Red dots
layer2,13,Dog noses
layer2,14,Spots of color
layer2,15,White skin
layer2,16,Edges of objects
layer2,17,The color gradient
layer2,18,Spots of the color white
layer2,19,Circles
layer2,20,Green dots
layer2,21,Edges of objects
layer2,22,People 's faces
layer2,23,The bottom of circles
layer2,24,Circular objects
layer2,25,Circles
layer2,26,Horizontal lines
layer2,27,Red lines
layer2,28,Spots of the color white
layer2,29,Spots of the color white
layer2,30,Horizontal lines
layer2,31,Black and white colored objects
layer2,32,Red and orange dots
layer2,33,Striped clothing
layer2,34,Vertical lines
layer2,35,Vertical lines
layer2,36,Striped patterns
layer2,37,Circular objects
layer2,38,Vertical lines
layer2,39,The area under lines
layer2,40,Dots
layer2,41,Objects with polka dots and polka dots
layer2,42,Red colored objects
layer2,43,Spots of the color white
layer2,44,Striped objects
layer2,45,Spots of the color white
layer2,46,The color blue
layer2,47,Edges of objects
layer2,48,Diagonal lines
layer2,49,Vertical lines
layer2,50,Blue dots
layer2,51,The bottom of circles
layer2,52,The area above a object
layer2,53,Black dots
layer2,54,Vertical lines
layer2,55,People 's faces
layer2,56,The color yellow and dots
layer2,57,Colorful dots
layer2,58,Circles
layer2,59,Striped objects
layer2,60,Stripes
layer2,61,Stripes
layer2,62,The top of a circle
layer2,63,Grids
layer2,64,Similar patterns
layer2,65,Vertical lines
layer2,66,Striped objects
layer2,67,Layered part of objects
layer2,68,Dots and curves
layer2,69,Edges of objects
layer2,70,Orange areas in picture
layer2,71,Circular objects
layer2,72,Spots of the color white
